Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = transitory 1 = informal 2 = marital),male_ID,female_ID,male_age,female_age,Termination_Reason
114,1,8,11.342,12,0,1449,14918,23.372,17.4105,BROKEUP
44,1,3,18.1381,19,0,1343,4056,20.8371,16.1291,BROKEUP
1,1,0,20.1412,21,0,1319,101,30.7341,18.9351,BROKEUP
59,1,4,25.4943,26,0,10487,3063,34.1395,22.6915,BROKEUP
245,1,18,26.7561,27,0,14208,15852,19.723,19.9011,BROKEUP
416,1,30,31.6145,32,0,15537,4541,25.3358,24.289,BROKEUP
61,1,4,33.6135,34,0,8769,13803,17.5192,16.6008,BROKEUP
283,1,21,35.9747,36,0,12517,9856,21.1244,16.9337,BROKEUP
29,1,2,38.0672,39,0,12548,7267,22.5412,21.0086,BROKEUP
302,1,23,38.5805,39,0,14974,16304,43.1383,41.7683,BROKEUP
62,1,4,39.806,40,0,10211,6189,24.0236,18.7708,BROKEUP
149,1,11,39.2689,40,0,15994,1367,16.5742,18.2378,BROKEUP
116,1,9,40.8986,41,0,3686,11744,17.444,17.8874,BROKEUP
292,1,22,40.087,41,0,13145,11292,22.1484,29.785,BROKEUP
64,1,4,46.1382,47,0,16701,7326,16.7479,18.8126,BROKEUP
172,1,13,46.6724,47,0,2147,5511,16.8537,19.9965,BROKEUP
30,1,2,50.9877,51,0,15345,1266,23.905,17.5709,BROKEUP
347,1,26,52.7029,53,0,12145,13314,44.6163,35.9112,BROKEUP
453,1,33,54.6572,55,0,7681,4121,25.4437,16.7367,BROKEUP
395,1,29,55.6348,56,0,468,11595,19.8315,16.9951,BROKEUP
257,1,19,57.1595,58,0,15208,12580,21.1308,21.801,BROKEUP
357,1,27,57.7608,58,0,12193,6400,23.32,25.0086,BROKEUP
523,1,37,58.1002,59,1,14232,6705,22.3188,20.716,BROKEUP
218,1,16,59.1353,60,0,13363,10424,26.6527,23.8189,BROKEUP
353,1,26,59.4261,60,1,10503,10890,27.9954,24.3475,BROKEUP
483,1,35,59.3528,60,0,10257,11130,35.668,20.8647,BROKEUP
435,1,31,60.7408,61,0,16377,3032,26.6052,21.7999,BROKEUP
566,1,41,60.5042,61,0,6977,14430,39.4124,44.2171,BROKEUP
467,1,34,62.9379,63,0,1565,15185,29.1505,23.6277,BROKEUP
242,1,18,63.3487,64,0,8170,4923,20.6559,23.7698,BROKEUP
747,1,55,63.2079,64,0,13926,15166,18.8216,16.7234,BROKEUP
89,1,6,65.7166,66,0,10091,8448,44.4113,26.2571,BROKEUP
331,1,25,65.486,66,0,6146,3570,50.679,33.8436,BROKEUP
173,1,13,66.4172,67,0,8076,1853,38.994,31.764,BROKEUP
198,1,15,66.3955,67,0,11003,2803,23.6536,22.2943,BROKEUP
744,1,55,68.5748,69,0,17121,5726,21.3379,18.2956,BROKEUP
631,1,45,69.8287,70,0,15369,14052,27.488,23.4544,BROKEUP
396,1,29,70.2309,71,0,1124,4982,22.3339,25.8209,BROKEUP
751,1,55,71.4904,72,0,8444,11240,26.0419,21.7464,BROKEUP
604,1,44,72.1886,73,0,16811,5151,24.5193,24.4911,BROKEUP
441,1,31,73.8097,74,1,16806,5713,33.8434,27.8486,BROKEUP
