Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
0,340461476,1000,26170,26170,0,0,27006,823000,5,1,0,0,2553.26,136.447,2836.95,1,1,1
1,340461476,1000,22929,22929,0,0,24450,718500,5,1,0,0,11450,618.576,12691,0.00925429,0.0005196,0.00997172
2,340461476,1000,20127,20127,0,0,22143,631200,5,1,0,0,7069.09,423.742,7818.77,0.0475892,0.00265028,0.0519058
3,340461476,1000,17574,17574,0,0,19978,551200,2,1,0,0,1688.91,185.993,1856.01,0.0334711,0.00206502,0.0364002
4,340461476,1000,15368,15368,0,0,18077,481500,2,0,0,0,722.057,153.102,788.621,0.00907039,0.00101747,0.0101867
5,340461476,1000,13498,13498,0,0,16314,414700,2,0,0,0,2834.32,244.03,3211.36,0.00446265,0.000983312,0.00480867
6,340461476,1000,11758,11758,0,0,14728,362900,2,0,0,0,652.629,138.947,659.479,0.0207795,0.00177605,0.0227918
7,340461476,1000,10253,10253,0,0,13373,316900,2,0,0,0,1162.79,141.803,1340.65,0.00534942,0.001155,0.00546831
8,340461476,1000,8940,8940,0,0,12124,274200,0,0,0,0,4130.69,341.704,4478.77,0.0110426,0.0013875,0.0122546
9,340461476,1000,7879,7879,0,0,10970,238600,0,0,0,0,2070.87,248.467,2347.75,0.0448988,0.00380094,0.0485241
10,340461476,1000,6865,6865,0,0,9892,213100,0,0,0,0,2860.14,275.455,3235.49,0.0256932,0.00325644,0.0287363
11,340461476,1001,6063,6063,0,0,8924,188300,0,0,0,0,11572.7,763.412,12731.5,0.0409762,0.00395201,0.0439605
12,340461476,1001,5337,5337,0,0,8080,173500,0,0,0,0,2641.47,275.027,2873.41,0.184867,0.0128521,0.192029
13,340461476,1001,4663,4663,0,0,7275,146600,0,0,0,0,2213.38,276.09,2326.42,0.0447707,0.00490244,0.0492023
14,340461476,1001,4141,4141,0,0,6539,126400,0,0,0,0,7076.89,558.707,7847.77,0.0443563,0.00575188,0.0477704
15,340461476,1001,3609,3609,0,0,5932,110500,0,0,0,0,2077.36,303.43,2388.4,0.170939,0.0137613,0.176751
16,340461476,1001,3150,3150,0,0,5350,99300,0,0,0,0,4402.28,392.321,4909.87,0.0555443,0.00864473,0.0628525
17,340461476,1001,3761,3761,0,0,5827,86100,0,0,0,0,892.586,294.169,915.875,0.135873,0.0121839,0.141495
18,340461476,1001,7810,7810,0,0,9875,102400,0,0,0,0,2038.7,350.692,2319.77,0.0329368,0.0103947,0.0298331
19,340461476,1001,6872,6872,0,0,8907,209100,1,0,0,0,2012.94,307.315,2237.71,0.0522742,0.014735,0.0585801
20,340461476,1001,8574,8574,0,0,10645,190600,0,0,0,0,5540.81,496.467,6092.57,0.0231107,0.012195,0.0231169
21,340461476,1001,8172,8172,0,0,10253,232000,1,0,0,0,1485.68,328.328,1651.98,0.0683207,0.0211262,0.0708438
22,340461476,1001,7423,7423,0,0,9533,221200,1,0,0,0,3998.47,446.236,4449.74,0.0143129,0.0164164,0.0152678
23,340461476,1001,7563,7563,0,0,9682,205400,1,0,0,0,546.025,299,696.918,0.0421779,0.0233631,0.0414701
24,340461476,1001,6888,6888,0,0,9016,211800,1,0,0,0,4038.65,492.807,4647.95,0.00594152,0.018012,0.00719214
25,340461476,1001,6474,6474,0,0,8603,190300,0,0,0,0,4157.12,527.992,4684.91,0.0453272,0.0309942,0.0435201
26,340461476,1001,7045,7020,25,0,9289,170200,0,0,0,0,1823.53,394.472,2093.7,0.0485644,0.0377137,0.0516528
27,340461476,1001,6960,6894,66,0,9136,192240,0,0,0,0,1508.53,348.209,1658.82,0.0244769,0.028585,0.0255641
28,340461476,1001,7196,7096,100,0,9255,189700,0,0,0,0,3956.68,481.981,4331.2,0.0185141,0.0283558,0.0168442
29,340461476,1001,10440,10307,133,0,12454,195540,1,0,0,0,130.582,381.834,227.094,0.0472383,0.0421312,0.0458328
30,340461476,1001,10130,9963,167,0,12221,284940,1,0,0,0,5540.96,689.573,6070.52,0.00151347,0.0323589,0.00233012
31,340461476,1001,9653,9452,201,0,11758,272580,1,0,0,0,13960.1,1007.21,15518.5,0.043282,0.0535383,0.0421447
32,340461476,1002,11033,10805,228,0,13221,260580,1,0,0,0,2748.84,508.52,2939.61,0.113,0.0704345,0.115174
33,340461476,1003,10458,10200,258,0,12660,292000,1,0,0,0,4504.67,678.972,5023.08,0.0233665,0.0399152,0.0225776
34,340461476,1003,11136,10854,282,0,13606,284800,1,0,0,0,1555.2,469.792,1591.78,0.0336471,0.0528794,0.0345752
35,340461476,1003,9745,9429,316,0,12308,296240,1,0,0,0,2719.95,570.115,3099.17,0.0127225,0.0302311,0.0108269
36,340461476,1003,9299,8971,317,11,11928,267140,1,0,0,0,1248.93,458.821,1301.81,0.0209614,0.0383658,0.0204404
37,340461476,1003,11010,10679,306,25,13688,251980,1,0,0,0,3384.53,605.354,3863.59,0.0100671,0.0385564,0.00992388
38,340461476,1003,10250,9926,296,28,12999,302320,1,0,0,0,4032.35,560.547,4459.17,0.0306569,0.0482738,0.029941
39,340461476,1004,10652,10312,307,33,13376,285300,1,0,0,0,5780.18,812.683,6601.76,0.02784,0.0406193,0.0310354
40,340461476,1004,9624,9283,317,24,12400,291740,1,0,0,0,1715.37,395.64,2059.53,0.0438158,0.0508563,0.0480477
41,340461476,1004,10119,9769,320,30,12909,262500,1,0,0,0,9145.16,893.591,10094.1,0.0130785,0.0297474,0.0139838
42,340461476,1004,8833,8472,322,39,11681,270180,1,0,0,0,5085.79,686.15,5470.98,0.0786613,0.0623146,0.0765282
43,340461476,1004,10076,9735,296,45,12964,237100,1,0,0,0,886.547,547.299,982.941,0.041721,0.0473207,0.0408954
44,340461476,1004,8838,8493,283,62,11647,278540,1,0,0,0,2699.41,621.896,3045.12,0.00813495,0.0442083,0.00849267
45,340461476,1004,8294,7960,276,58,11193,239300,1,0,0,0,5224.31,700.802,5810.13,0.0224539,0.0371503,0.0215081
46,340461476,1004,8703,8371,262,70,11630,220840,1,0,0,0,4905.12,696.02,5460.03,0.0508301,0.0415167,0.0485634
47,340461476,1004,7797,7466,267,64,10648,237340,1,0,0,0,3548.62,722.236,3893.8,0.0535845,0.0449045,0.0479791
48,340461476,1004,8884,8566,257,61,11652,210120,1,0,0,0,2449.49,613.746,2732.65,0.0345802,0.0491987,0.0324375
49,340461476,1005,12859,12555,242,62,15640,247900,1,0,0,0,3690.41,720.242,4125.91,0.0266596,0.0375609,0.026817
50,340461476,1005,12305,11988,240,77,15152,351460,1,0,0,0,1438.57,621.126,1583.3,0.034013,0.0383108,0.0342115
51,340461476,1005,12464,12137,263,64,15445,343640,1,0,0,0,6801.82,890.448,7454.02,0.00908761,0.0343543,0.0090433
52,340461476,1005,11543,11215,247,81,14600,344080,1,0,0,0,4878.11,780.302,5323.57,0.0440704,0.0425644,0.0442691
53,340461476,1005,11136,10806,256,74,14299,322900,1,0,0,0,11840.9,1231.13,13292.7,0.0320928,0.0394092,0.0309007
54,340461476,1005,10212,9869,280,63,13505,303640,1,0,0,0,3366.55,737.584,3808.5,0.0813246,0.0599382,0.0847968
55,340461476,1005,10266,9930,272,64,13463,279540,1,0,0,0,14124.1,1410.15,15816.6,0.0250786,0.0355634,0.0256189
56,340461476,1005,10543,10201,281,61,13714,281640,1,0,0,0,5474.16,886.6,5882.52,0.111108,0.0788673,0.11756
57,340461476,1005,11447,11114,273,60,14544,288820,1,0,0,0,5364.82,972.456,6172.02,0.0420056,0.044508,0.044768
58,340461476,1005,10712,10361,294,57,13829,308580,1,0,0,0,15133.9,1284.13,16792.6,0.0412932,0.0484774,0.0444542
59,340461476,1005,12613,12268,298,47,15873,293180,1,0,0,0,5166.14,921.697,5824.6,0.109539,0.0628861,0.11195
60,340461476,1005,12955,12621,289,45,16144,342960,1,0,0,0,15491.5,1546.2,17285.4,0.0396176,0.0437653,0.0410994
61,340461476,1005,11713,11365,308,40,15042,348720,1,0,0,0,2778.81,893.482,3062.14,0.102294,0.0663037,0.102767
62,340461476,1006,10292,9947,293,52,13685,315480,1,0,0,0,6881.72,1236.45,7684.82,0.0179301,0.0424256,0.017733
63,340461476,1006,9991,9653,286,52,13333,278500,1,0,0,0,3240.57,840.758,3476.87,0.0494946,0.0509667,0.0504982
64,340461476,1006,10458,10134,278,46,13799,269940,1,0,0,0,22394.9,1992.32,24954.5,0.0257597,0.0376346,0.0266713
65,340461476,1006,10798,10466,268,64,14168,282660,1,0,0,0,13094,1518.1,14359.7,0.184563,0.105302,0.192432
66,340461476,1006,10609,10283,272,54,14109,296240,1,0,0,0,10556.8,1417.29,11784.6,0.106161,0.0750792,0.103233
67,340461476,1006,10174,9832,287,55,13649,292820,1,0,0,0,4292.51,872.934,4685.69,0.0798061,0.0772788,0.0809272
68,340461476,1006,10237,9899,276,62,13629,272600,1,0,0,0,10869.7,1728.79,12244.8,0.0334516,0.0405638,0.0327716
69,340461476,1006,9501,9156,280,65,12843,277200,1,0,0,0,8178.86,1333.4,8992.74,0.0890087,0.0883842,0.0935291
70,340461476,1006,10573,10222,294,57,13895,255620,1,0,0,0,12315.1,1613.52,14032.4,0.0669192,0.0736686,0.065698
71,340461476,1006,9260,8907,288,65,12610,280900,1,0,0,0,3376.34,1190.91,3808.05,0.109429,0.0863767,0.1128
72,340461476,1006,13493,13136,288,69,16847,246380,1,0,0,0,7001.5,1342.11,8087.12,0.0273255,0.055391,0.0280333
73,340461476,1006,13093,12704,318,71,16383,357460,1,0,0,0,11224.6,1597.22,12222.4,0.0641398,0.0758252,0.0676633
74,340461476,1006,16098,15667,356,75,19527,357840,1,0,0,0,4930.17,1373.25,5482.3,0.0690916,0.0648221,0.0717443
75,340461476,1006,15908,15441,392,75,19437,428960,2,1,0,0,1931.23,1008.45,2174.8,0.0305577,0.0528174,0.0321543
76,340461476,1006,15913,15382,458,73,19446,436960,2,0,0,0,3200.86,1134.59,3538.06,0.00997637,0.0392699,0.010371
77,340461476,1006,20891,20318,499,74,24364,430120,3,1,0,0,3890.34,1239.04,4223.82,0.0169951,0.0415298,0.0159876
78,340461476,1006,23888,23251,556,81,27636,566240,3,1,0,0,5523.48,1717.61,6306.3,0.0203194,0.0460951,0.0199444
79,340461476,1006,20992,20233,678,81,25076,641180,4,1,0,0,5520.48,1817.09,6361.87,0.0217237,0.0522387,0.0225951
80,340461476,1006,19392,18534,776,82,23670,565740,3,1,0,0,5710.84,1245.92,6132.27,0.0188606,0.0555685,0.0201465
81,340461476,1006,19296,18368,849,79,23817,529160,3,1,0,0,1863.81,1029.2,1983.79,0.0218924,0.0431414,0.0222184
82,340461476,1006,26305,25341,883,81,30820,523160,3,1,0,0,4632.21,1423.55,5225.57,0.00772211,0.0335901,0.00771422
83,340461476,1006,28015,26901,1015,99,33004,720600,4,1,0,0,11574.9,2020.21,12929,0.0195156,0.0484529,0.020379
84,340461476,1006,28378,27136,1071,171,33628,770440,4,1,0,0,2427.63,1670.2,2800.04,0.0359916,0.0489155,0.0361448
85,340461476,1006,26284,24905,1198,181,31827,750980,4,1,0,0,8186.64,1327.86,9143.61,0.00702683,0.0388781,0.00732993
86,340461476,1006,27156,25695,1297,164,32833,708240,4,1,0,0,13858.4,1849.54,15330,0.0243187,0.0295738,0.0247499
87,340461476,1006,31745,30210,1351,184,37852,731920,4,1,0,0,2463.65,1394.89,2786.62,0.0432427,0.043745,0.0443731
88,340461476,1006,32812,31149,1504,159,38980,848000,5,2,0,0,1929.82,1281.22,2075.92,0.00767876,0.031374,0.00760083
89,340461476,1006,28723,26890,1636,197,35301,892080,6,2,0,0,5465.73,1807.17,5951.48,0.00505931,0.0261367,0.00497178
90,340461476,1006,29654,27737,1705,212,36549,774280,4,1,0,0,1500.32,972.583,1461.8,0.0136078,0.0309553,0.0137753
91,340461476,1006,28137,26156,1751,230,35228,820540,5,1,0,0,2062.51,1409.66,2288.9,0.00430408,0.0179576,0.00393444
92,340461476,1006,25611,23565,1809,237,32791,775120,4,1,0,0,2100.35,1459.18,2547.73,0.00564359,0.0262408,0.00570287
93,340461476,1006,25775,23711,1810,254,32993,688420,4,1,0,0,6116.25,1560.69,6899.39,0.00593353,0.0265402,0.00695797
94,340461476,1006,22554,20464,1879,211,29854,694920,4,1,0,0,24722,2077.8,27468.2,0.020191,0.0313517,0.020551
95,340461476,1006,22216,20150,1892,174,29485,595620,3,1,0,0,4569.75,1387.05,5220.17,0.0807487,0.0358985,0.0830157
96,340461476,1006,22032,19981,1841,210,29126,593560,3,1,0,0,25151.6,2586.37,27889.4,0.0172678,0.0276306,0.0185917
97,340461476,1006,19557,17492,1750,315,26608,593740,3,1,0,0,4264.2,1192.14,4861.23,0.0949402,0.047719,0.101623
98,340461476,1006,18913,16898,1744,271,26000,525560,3,1,0,0,5122.84,1669.48,5566.38,0.0163467,0.0209441,0.0176157
99,340461476,1006,17349,15352,1642,355,24337,509760,3,1,0,0,16200.6,2247.04,17916.8,0.0226274,0.0295587,0.0229371
100,340461476,1006,17027,15052,1580,395,23817,476200,3,1,0,0,5938.53,1636.25,6570.93,0.0722468,0.0466191,0.0754964
101,340461476,1006,14888,12959,1516,413,21571,458160,3,1,0,0,7104.91,1746.96,7753.46,0.0287775,0.0341596,0.0296068
102,340461476,1006,17084,15178,1475,431,23366,399320,1,0,0,0,5369.85,2079.88,5922.51,0.0356279,0.0383105,0.0363773
103,340461476,1006,16055,14186,1431,438,22118,454600,3,1,0,0,4481,1262.61,4883.34,0.0311549,0.0493097,0.0320517
104,340461476,1007,16775,14954,1370,451,22670,426440,3,0,0,0,4545.06,1663.6,4965.52,0.0228041,0.0282084,0.02289
105,340461476,1007,19311,17473,1331,507,25054,461540,3,1,0,0,7190.57,1718.85,7867.63,0.0239744,0.0360555,0.0260356
106,340461476,1007,18011,16105,1393,513,23902,522640,3,1,0,0,5119.85,1674.28,5548.73,0.0366604,0.0375459,0.0358238
107,340461476,1007,16339,14380,1504,455,22281,471920,3,1,0,0,4956.66,1679.71,5380.4,0.0223126,0.0351297,0.0225999
108,340461476,1007,16301,14350,1500,451,22143,425100,2,0,0,0,2875.39,1673.14,3234.66,0.0242783,0.0331042,0.0247922
109,340461476,1007,14914,12976,1434,504,20702,435640,3,1,0,0,10467.6,2175.5,11726.9,0.015825,0.0364678,0.0163763
110,340461476,1007,13933,12032,1467,434,19590,398240,1,0,0,0,9739.91,1950.89,10860.4,0.0551971,0.0469668,0.0587283
111,340461476,1007,13065,11196,1429,440,18659,370000,1,0,0,0,8635.82,1874.11,9546.02,0.0583368,0.0393482,0.0597713
112,340461476,1007,13714,11886,1409,419,19011,345740,1,0,0,0,7688.28,1837.77,8776.98,0.0553294,0.0428466,0.0560937
113,340461476,1007,21969,20173,1385,411,27280,367060,1,0,0,0,10545.6,2068.06,11698.5,0.0539604,0.0403728,0.055642
114,340461476,1007,28413,26441,1577,395,33980,584760,3,1,0,0,12481.3,2143.86,13922.6,0.0709856,0.0430666,0.0686208
115,340461476,1007,26492,24207,1882,403,32405,759900,4,1,0,0,3193.7,1719.15,3644.67,0.0504826,0.0373755,0.0496951
116,340461476,1007,25220,22769,2054,397,31276,713500,4,1,0,0,6505.67,1990.56,7187.64,0.00969257,0.0263593,0.00998048
117,340461476,1007,28115,25462,2176,477,34301,678100,4,1,0,0,7910.74,1829.34,8818.71,0.0213609,0.0348732,0.0204275
118,340461476,1007,27030,24119,2493,418,33256,745120,4,1,0,0,12140.8,2254.75,13625.8,0.0274888,0.0317704,0.0265033
119,340461476,1007,26403,23352,2628,423,32844,714680,4,1,0,0,7277.04,2065.48,7904.94,0.0375806,0.0397944,0.03729
120,340461476,1007,25252,22014,2822,416,32078,711100,4,1,0,0,1932.61,1720.59,2252.45,0.0233029,0.0337056,0.0231735
121,340461476,1007,24078,20726,2882,470,30802,665600,4,1,0,0,3499.54,1715.55,3800.48,0.00625197,0.0303991,0.00652167
122,340461476,1007,22918,19444,3012,462,29771,642520,4,1,0,0,2327.97,1745.19,2492.3,0.0120003,0.0283281,0.0121259
123,340461476,1007,22935,19363,3135,437,29626,608640,4,1,0,0,3082.32,1873.48,3383.13,0.0085707,0.0285721,0.00804435
124,340461476,1007,22156,18509,3161,486,28831,609540,4,1,0,0,9710.09,2112.75,10711.4,0.0118633,0.0300333,0.011811
125,340461476,1007,21454,17748,3124,582,28148,585340,3,1,0,0,3675.37,1823.11,4089.96,0.0371465,0.034209,0.0374029
126,340461476,1007,20101,16344,3257,500,26735,575500,3,1,0,0,3453.77,1748.69,3816.97,0.0142115,0.0292915,0.0154642
127,340461476,1007,21520,17777,3048,695,28121,524020,3,1,0,0,3511.13,1832.37,3858.37,0.01448,0.0283511,0.0138648
128,340461476,1007,22516,18728,3185,603,29098,562220,3,1,0,0,5140.28,1868.32,5765.98,0.0160972,0.0319339,0.0155254
129,340461476,1007,23171,19269,3264,638,29644,593520,4,1,0,0,2335.76,1654.04,2588.18,0.0219052,0.0316664,0.02147
130,340461476,1007,23328,19282,3215,831,29801,603960,4,1,0,0,2721.8,1724.91,2987.45,0.00935652,0.0265241,0.0091936
131,340461476,1007,24338,20128,3368,842,30900,617480,4,1,0,0,3228.72,1738.46,3436.7,0.0103412,0.0299256,0.0105519
132,340461476,1007,25899,21525,3656,718,32637,639920,4,1,0,0,5015.6,1864.2,5695.45,0.0123734,0.0274119,0.0117245
133,340461476,1007,24025,19493,3789,743,30959,674040,4,1,0,0,4288.96,1789.05,4802.19,0.0185296,0.0285745,0.018735
134,340461476,1007,23595,18904,3948,743,30623,637240,4,1,0,0,3477.22,1731.36,3814.58,0.0147732,0.0276771,0.0150501
135,340461476,1007,23490,18723,4002,765,30815,610540,4,1,0,0,1947.49,1719.17,2129.99,0.0128368,0.0277194,0.0125521
136,340461476,1007,25418,20526,4112,780,32476,611700,4,1,0,0,1818.27,1247.78,1942.08,0.0075373,0.0272539,0.00736816
137,340461476,1007,25052,19988,4289,775,32256,676100,4,1,0,0,1178.48,1608.7,1208.09,0.00692199,0.0200866,0.00676919
