Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
2,62,26.6591,F,1,3,local,STIPreEmigrating,0,8,0,0,0,INFORMAL,PAUSED,111,0,1
2,62,26.6591,F,3,0,N/A,STIPostImmigrating,0,8,0,0,1,INFORMAL,PAUSED,111,0,3
3,194,39.6798,F,3,1,local,STIPreEmigrating,0,17,0,0,0,MARITAL,PAUSED,229,0,3
3,194,39.6798,F,1,0,N/A,STIPostImmigrating,0,17,0,0,1,MARITAL,PAUSED,229,0,1
4,156,43.7381,M,2,1,local,STIPreEmigrating,0,15,1,0,0,MARITAL,PAUSED,132,2,0
4,156,43.7381,M,1,0,N/A,STIPostImmigrating,0,15,1,0,1,MARITAL,PAUSED,132,1,0
5,75,48.5523,F,1,4,local,STIPreEmigrating,0,27,1,0,0,MARITAL,PAUSED,31,0,1
5,75,48.5523,F,4,0,N/A,STIPostImmigrating,0,27,1,0,1,MARITAL,PAUSED,31,0,4
6,123,20.7916,M,2,3,local,STIPreEmigrating,0,5,2,0,0,TRANSITORY,PAUSED,120,2,0
6,123,20.7916,M,3,0,N/A,STIPostImmigrating,0,5,2,0,1,TRANSITORY,PAUSED,120,3,0
7,233,51.4475,M,3,4,local,STIPreEmigrating,0,21,0,0,0,MARITAL,PAUSED,184,3,0
7,66,50.447,M,1,3,local,STIPreEmigrating,0,28,0,0,0,MARITAL,PAUSED,67,1,0
7,66,50.447,M,3,0,N/A,STIPostImmigrating,0,28,0,0,1,MARITAL,PAUSED,67,3,0
7,233,51.4475,M,4,0,N/A,STIPostImmigrating,0,21,0,0,1,MARITAL,PAUSED,184,4,0
8,30,18.9241,M,1,4,local,STIPreEmigrating,0,16,2,0,0,TRANSITORY,PAUSED,23,1,0
8,30,18.9241,M,4,0,N/A,STIPostImmigrating,0,16,2,0,1,TRANSITORY,PAUSED,23,4,0
12,119,20.0861,F,2,4,local,STIPreEmigrating,0,19,2,0,0,TRANSITORY,PAUSED,101,0,2
12,23,16.7735,F,1,2,local,STIPreEmigrating,0,16,2,0,0,TRANSITORY,PAUSED,30,0,0
12,23,16.7735,F,2,0,N/A,STIPostImmigrating,0,16,2,0,1,TRANSITORY,PAUSED,30,0,2
