Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = transitory 1 = informal 2 = marital),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_transitory_rels,A_num_active_informal_rels,A_num_active_marital_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_transitory_rels,B_num_active_informal_rels,B_num_active_marital_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,29,605.009,0,1,1,224,0,0,22.4568,1,1,0,0,1,1,0,0,0,0,5929,0,1,27.6761,1,1,0,0,1,1,0,0,0,0,Location-M_55,Location-M_45
2,29,127.402,0,1,1,2334,1,0,26.2399,1,1,0,0,1,1,0,0,0,0,9889,1,1,18.483,1,1,0,0,1,1,0,0,0,0,Location-M_11,Location-M_11
3,29,190.316,0,1,1,10579,1,0,17.4183,1,1,0,0,1,1,0,0,0,0,11449,0,1,16.307,1,1,0,0,1,1,0,0,0,0,Location-M_11,Location-M_12
4,29,675.899,0,1,1,11684,0,0,16.9903,1,1,0,0,1,1,0,0,0,0,6810,0,1,17.3125,1,1,0,0,1,1,0,0,0,0,Location-M_41,Location-M_41
5,29,823.889,0,1,1,11988,0,0,34.1298,1,1,0,0,1,1,0,0,0,0,1154,0,1,28.1238,1,1,0,0,1,1,0,0,0,0,Location-M_22,Location-M_22
6,29,300.545,0,1,1,16548,0,0,21.8947,1,1,0,0,1,1,0,0,0,0,12340,1,1,20.4093,1,1,0,0,1,1,0,0,0,0,Location-M_12,Location-M_11
7,29,550.96,0,1,1,1539,1,0,25.2122,1,1,0,0,1,1,0,0,0,0,3459,1,1,30.0541,1,1,0,0,1,1,0,0,0,0,Location-M_11,Location-M_11
8,29,496.407,0,1,1,2228,0,0,23.9884,1,1,0,0,1,1,0,0,0,0,3007,0,1,21.4774,1,1,0,0,1,1,0,0,0,0,Location-M_15,Location-M_13
9,29,249.739,0,1,1,3691,0,0,31.4461,1,1,0,0,1,1,0,0,0,0,4551,1,1,30.3236,1,1,0,0,1,1,0,0,0,0,Location-M_51,Location-M_11
10,29,257.537,0,1,1,6077,0,0,27.7731,1,1,0,0,1,1,0,0,0,0,10921,0,1,25.957,1,1,0,0,1,1,0,0,0,0,Location-M_44,Location-M_55
11,29,495.93,0,1,1,8282,0,0,21.5128,1,1,0,0,1,1,0,0,0,0,5865,0,1,17.3275,1,1,0,0,1,1,0,0,0,0,Location-M_15,Location-M_25
12,29,564.233,0,1,1,9570,0,0,34.9277,1,1,0,0,1,1,0,0,0,0,14589,0,1,25.2127,1,1,0,0,1,1,0,0,0,0,Location-M_31,Location-M_22
13,29,570.306,0,1,1,10681,0,0,23.5019,1,1,0,0,1,1,0,0,0,0,458,0,1,25.1134,1,1,0,0,1,1,0,0,0,0,Location-M_51,Location-M_41
14,29,212.73,0,1,1,11510,0,0,22.5012,1,1,0,0,1,1,0,0,0,0,11910,0,1,22.0374,1,1,0,0,1,1,0,0,0,0,Location-M_33,Location-M_32
15,29,103.008,0,1,1,14040,0,0,31.288,1,1,0,0,1,1,0,0,0,0,12025,1,1,24.7669,1,1,0,0,1,1,0,0,0,0,Location-M_22,Location-M_11
16,29,613.223,0,1,1,725,0,0,34.875,1,1,0,0,1,1,0,0,0,0,1700,0,1,21.5643,1,1,0,0,1,1,0,0,0,0,Location-M_34,Location-M_35
17,29,132.873,0,1,1,1584,1,0,26.9151,1,1,0,0,1,1,0,0,0,0,10138,1,1,23.3621,1,1,0,0,1,1,0,0,0,0,Location-M_11,Location-M_11
