Time, NodeID, Gender, AgeYears, IPKey=Risk, NumIndividuals, NumInfected
0,2,M,40, High,1454,0
0,2,M,40, Low,630,0
0,2,M,80, High,277,0
0,2,M,80, Low,105,0
0,2,M,125, High,36,0
0,2,M,125, Low,32,0
0,2,F,40, High,1420,0
0,2,F,40, Low,641,0
0,2,F,80, High,232,0
0,2,F,80, Low,101,0
0,2,F,125, High,55,0
0,2,F,125, Low,17,0
0,1,M,40, High,390,0
0,1,M,40, Low,1622,0
0,1,M,80, High,78,0
0,1,M,80, Low,297,0
0,1,M,125, High,14,0
0,1,M,125, Low,67,0
0,1,F,40, High,441,0
0,1,F,40, Low,1628,0
0,1,F,80, High,68,0
0,1,F,80, Low,307,0
0,1,F,125, High,14,0
0,1,F,125, Low,74,0
1,2,M,40, High,1454,0
1,2,M,40, Low,630,0
1,2,M,80, High,277,0
1,2,M,80, Low,105,0
1,2,M,125, High,36,0
1,2,M,125, Low,32,0
1,2,F,40, High,1420,0
1,2,F,40, Low,641,0
1,2,F,80, High,232,0
1,2,F,80, Low,101,0
1,2,F,125, High,55,0
1,2,F,125, Low,17,0
1,1,M,40, High,390,1
1,1,M,40, Low,1622,19
1,1,M,80, High,78,0
1,1,M,80, Low,297,2
1,1,M,125, High,14,0
1,1,M,125, Low,67,0
1,1,F,40, High,441,1
1,1,F,40, Low,1628,19
1,1,F,80, High,68,0
1,1,F,80, Low,307,4
1,1,F,125, High,14,0
1,1,F,125, Low,74,0
2,2,M,40, High,1454,0
2,2,M,40, Low,630,0
2,2,M,80, High,277,0
2,2,M,80, Low,105,0
2,2,M,125, High,36,0
2,2,M,125, Low,32,0
2,2,F,40, High,1420,0
2,2,F,40, Low,641,0
2,2,F,80, High,232,0
2,2,F,80, Low,101,0
2,2,F,125, High,55,0
2,2,F,125, Low,17,0
2,1,M,40, High,390,1
2,1,M,40, Low,1622,17
2,1,M,80, High,78,0
2,1,M,80, Low,297,2
2,1,M,125, High,14,0
2,1,M,125, Low,67,0
2,1,F,40, High,441,1
2,1,F,40, Low,1628,19
2,1,F,80, High,68,0
2,1,F,80, Low,307,3
2,1,F,125, High,14,0
2,1,F,125, Low,74,0
3,2,M,40, High,1454,0
3,2,M,40, Low,630,0
3,2,M,80, High,277,0
3,2,M,80, Low,105,0
3,2,M,125, High,36,0
3,2,M,125, Low,32,0
3,2,F,40, High,1420,0
3,2,F,40, Low,641,0
3,2,F,80, High,232,0
3,2,F,80, Low,101,0
3,2,F,125, High,55,0
3,2,F,125, Low,17,0
3,1,M,40, High,390,2
3,1,M,40, Low,1622,20
3,1,M,80, High,78,0
3,1,M,80, Low,297,5
3,1,M,125, High,14,0
3,1,M,125, Low,67,0
3,1,F,40, High,441,1
3,1,F,40, Low,1628,21
3,1,F,80, High,68,0
3,1,F,80, Low,307,3
3,1,F,125, High,14,0
3,1,F,125, Low,74,0
4,2,M,40, High,1454,0
4,2,M,40, Low,630,0
4,2,M,80, High,277,0
4,2,M,80, Low,105,0
4,2,M,125, High,36,0
4,2,M,125, Low,32,0
4,2,F,40, High,1420,0
4,2,F,40, Low,641,0
4,2,F,80, High,232,0
4,2,F,80, Low,101,0
4,2,F,125, High,55,0
4,2,F,125, Low,17,0
4,1,M,40, High,390,5
4,1,M,40, Low,1622,21
4,1,M,80, High,78,0
4,1,M,80, Low,297,6
4,1,M,125, High,14,0
4,1,M,125, Low,67,0
4,1,F,40, High,441,1
4,1,F,40, Low,1628,25
4,1,F,80, High,68,1
4,1,F,80, Low,307,2
4,1,F,125, High,14,0
4,1,F,125, Low,74,0
5,2,M,40, High,1454,0
5,2,M,40, Low,630,0
5,2,M,80, High,277,0
5,2,M,80, Low,105,0
