Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative, HasIntervention(Vaccine47),Vaccinated,VaccineExpired
1960.5,1,0,0,0,154,0,0,0,5,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,141,0,0,0,3,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,2,156,0,0,0,3,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,3,149,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,4,130,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,5,137,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,6,114,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,7,108,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,8,102,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,9,117,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,10,102,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,11,94,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,12,108,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,13,96,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,14,81,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,16,88,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,17,80,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,18,78,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,19,91,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,20,77,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,21,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,22,69,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,23,50,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,24,89,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,26,71,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,27,64,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,28,55,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,29,64,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,31,57,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,32,73,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,33,48,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,36,49,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,37,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,38,52,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,41,50,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,42,45,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,45,51,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,47,38,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,48,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,49,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,50,39,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,51,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,52,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,53,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,54,36,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,55,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,56,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,57,27,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,58,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,59,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,61,16,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,62,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,63,25,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,64,16,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,65,16,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,66,18,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,67,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,68,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,69,18,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,70,8,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,71,13,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,72,13,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,73,13,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,74,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,79,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,80,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,82,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
