Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
5,30,18.9159,M,2,4,local,STIPreEmigrating,0,4,1,0,0,INFORMAL,PAUSED,23,2,0
5,30,18.9159,M,4,0,N/A,STIPostImmigrating,0,4,1,0,1,INFORMAL,PAUSED,23,4,0
14,16,31.4745,M,1,2,local,STIPreEmigrating,0,3,7,0,0,INFORMAL,PAUSED,13,1,0
14,16,31.4745,M,2,0,N/A,STIPostImmigrating,0,3,7,0,1,INFORMAL,PAUSED,13,2,0
23,16,31.4992,M,2,1,local,STIPreEmigrating,0,3,7,0,1,INFORMAL,PAUSED,13,0,0
23,16,31.4992,M,1,0,N/A,STIPostImmigrating,0,3,7,0,0,INFORMAL,NORMAL,13,1,1
30,38,34.4395,M,3,2,local,STIPreEmigrating,0,5,9,0,0,INFORMAL,PAUSED,45,3,0
30,38,34.4395,M,2,0,N/A,STIPostImmigrating,0,5,9,0,1,INFORMAL,PAUSED,45,2,0
38,38,34.4614,M,2,3,local,STIPreEmigrating,0,5,9,0,1,INFORMAL,PAUSED,45,0,0
38,16,31.5403,M,1,3,local,STIPreEmigrating,0,3,11,0,0,INFORMAL,PAUSED,13,1,0
38,16,31.5403,M,3,0,N/A,STIPostImmigrating,0,3,11,0,1,INFORMAL,PAUSED,13,3,0
38,38,34.4614,M,3,0,N/A,STIPostImmigrating,0,5,9,0,0,INFORMAL,NORMAL,45,3,3
55,7,29.7379,F,1,3,local,STIPreEmigrating,0,2,20,0,0,INFORMAL,PAUSED,11,0,1
55,7,29.7379,F,3,0,N/A,STIPostImmigrating,0,2,20,0,1,INFORMAL,PAUSED,11,0,3
59,44,36.8783,M,3,2,local,STIPreEmigrating,0,7,18,0,0,INFORMAL,PAUSED,35,3,0
59,44,36.8783,M,2,0,N/A,STIPostImmigrating,0,7,18,0,1,INFORMAL,PAUSED,35,2,0
62,35,34.7389,F,3,2,local,STIPreEmigrating,0,7,18,0,0,INFORMAL,PAUSED,44,0,0
62,35,34.7389,F,2,0,N/A,STIPostImmigrating,0,7,18,0,1,INFORMAL,NORMAL,44,2,2
63,45,25.3254,F,3,4,local,STIPreEmigrating,0,5,20,0,0,INFORMAL,PAUSED,38,0,3
63,45,25.3254,F,4,0,N/A,STIPostImmigrating,0,5,20,0,1,INFORMAL,PAUSED,38,0,4
68,45,25.3391,F,4,3,local,STIPreEmigrating,0,5,20,0,1,INFORMAL,PAUSED,38,0,0
68,47,44.3463,F,2,3,local,STIPreEmigrating,0,8,2,0,0,INFORMAL,PAUSED,34,0,2
68,47,44.3463,F,3,0,N/A,STIPostImmigrating,0,8,2,0,1,INFORMAL,PAUSED,34,0,3
68,45,25.3391,F,3,0,N/A,STIPostImmigrating,0,5,20,0,0,INFORMAL,NORMAL,38,3,3
73,28,27.7052,M,2,1,local,STIPreEmigrating,0,1,25,0,0,INFORMAL,PAUSED,21,2,0
73,28,27.7052,M,1,0,N/A,STIPostImmigrating,0,1,25,0,1,INFORMAL,PAUSED,21,1,0
75,44,36.9221,M,2,3,local,STIPreEmigrating,0,7,22,0,1,INFORMAL,PAUSED,35,2,0
75,44,36.9221,M,3,0,N/A,STIPostImmigrating,0,7,22,0,1,INFORMAL,PAUSED,35,3,0
80,45,25.372,F,3,1,local,STIPreEmigrating,0,5,21,0,0,INFORMAL,PAUSED,38,0,3
80,45,25.372,F,1,0,N/A,STIPostImmigrating,0,5,21,0,1,INFORMAL,PAUSED,38,0,1
83,35,34.7964,F,2,3,local,STIPreEmigrating,0,7,22,0,1,INFORMAL,PAUSED,44,0,0
83,35,34.7964,F,3,0,N/A,STIPostImmigrating,0,7,22,0,1,INFORMAL,NORMAL,44,3,3
86,44,36.9523,M,3,1,local,STIPreEmigrating,0,7,24,0,1,INFORMAL,PAUSED,35,3,0
86,44,36.9523,M,1,0,N/A,STIPostImmigrating,0,7,24,0,1,INFORMAL,PAUSED,35,1,0
