Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = transitory 1 = informal 2 = marital),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_transitory_rels,A_num_active_informal_rels,A_num_active_marital_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_transitory_rels,B_num_active_informal_rels,B_num_active_marital_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,29,232.693,0,1,1,6961,0,0,34.124,1,1,0,0,1,1,0,0,0,0,914,0,1,27.0267,1,1,0,0,1,1,0,0,0,0,Race-KLINGON,Race-KLINGON
2,29,259.328,0,1,1,8029,0,0,23.415,1,1,0,0,1,1,0,0,0,0,10214,0,1,21.7873,1,1,0,0,1,1,0,0,0,0,Race-HUMAN,Race-VULCAN
3,29,964.565,0,1,1,9566,0,0,22.1188,1,1,0,0,1,1,0,0,0,0,8699,1,1,16.3992,1,1,0,0,1,1,0,0,0,0,Race-VULCAN,Race-HUMAN
4,29,127.418,0,1,1,15791,0,0,21.0399,1,1,0,0,1,1,0,0,0,0,14863,0,1,23.0239,1,1,0,0,1,1,0,0,0,0,Race-VULCAN,Race-KLINGON
5,29,441.703,0,1,1,16580,0,0,38.1252,1,1,0,0,1,1,0,0,0,0,6123,0,1,25.4174,1,1,0,0,1,1,0,0,0,0,Race-VULCAN,Race-VULCAN
6,29,81.4421,0,1,1,5320,0,0,29.555,1,1,0,0,1,1,0,0,0,0,16817,0,1,22.1938,1,1,0,0,1,1,0,0,0,0,Race-VULCAN,Race-VULCAN
7,29,477.726,0,1,1,8019,0,0,16.4238,1,1,0,0,1,1,0,0,0,0,13831,0,1,16.6689,1,1,0,0,1,1,0,0,0,0,Race-VULCAN,Race-VULCAN
8,29,78.9112,0,1,1,9908,0,0,23.7444,1,1,0,0,1,1,0,0,0,0,14332,1,1,18.4076,1,1,0,0,1,1,0,0,0,0,Race-KLINGON,Race-HUMAN
9,29,188.592,0,1,1,10040,0,0,42.9538,1,1,0,0,1,1,0,0,0,0,7551,0,1,48.1799,1,1,0,0,1,1,0,0,0,0,Race-VULCAN,Race-KLINGON
10,29,101.243,0,1,1,14005,0,0,31.2977,1,1,0,0,1,1,0,0,0,0,14547,0,1,20.853,1,1,0,0,1,1,0,0,0,0,Race-KLINGON,Race-VULCAN
11,29,145.834,0,1,1,17094,0,0,22.6948,1,1,0,0,1,1,0,0,0,0,108,0,1,28.5742,1,1,0,0,1,1,0,0,0,0,Race-VULCAN,Race-VULCAN
12,29,827.14,0,1,1,17292,0,0,34.9172,1,1,0,0,1,1,0,0,0,0,12927,0,1,17.6731,1,1,0,0,1,1,0,0,0,0,Race-KLINGON,Race-KLINGON
13,29,614,0,1,1,1302,0,0,41.2143,1,1,0,0,1,1,0,0,0,0,16176,0,1,23.2441,1,1,0,0,1,1,0,0,0,0,Race-KLINGON,Race-KLINGON
14,29,333.694,0,1,1,2587,0,0,21.5261,1,1,0,0,1,1,0,0,0,0,8502,0,1,15.8302,1,1,0,0,1,1,0,0,0,0,Race-VULCAN,Race-HUMAN
