Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
1,41,58.4106,M,1,4,local,STIPreEmigrating,0,15,0,0,1,INFORMAL,PAUSED,14,1,1
1,41,58.4106,M,4,0,N/A,STIPostImmigrating,0,15,0,0,1,INFORMAL,PAUSED,14,4,1
2,209,25.6,M,3,2,local,STIPreEmigrating,0,6,0,0,1,INFORMAL,PAUSED,222,3,3
2,209,25.6,M,2,0,N/A,STIPostImmigrating,0,6,0,0,1,INFORMAL,PAUSED,222,2,3
4,67,45.9556,F,1,2,local,STIPreEmigrating,0,18,2,0,1,MARITAL,PAUSED,34,1,1
4,67,45.9556,F,2,0,N/A,STIPostImmigrating,0,18,2,0,1,MARITAL,PAUSED,34,1,2
8,275,25.5336,M,4,1,local,STIPreEmigrating,0,27,3,0,1,INFORMAL,PAUSED,300,4,4
8,166,28.7712,M,2,4,local,STIPreEmigrating,0,33,2,0,1,INFORMAL,PAUSED,112,2,2
8,166,28.7712,M,4,0,N/A,STIPostImmigrating,0,33,2,0,1,INFORMAL,PAUSED,112,4,2
8,275,25.5336,M,1,0,N/A,STIPostImmigrating,0,27,3,0,1,INFORMAL,PAUSED,300,1,4
11,227,30.9232,M,4,3,local,STIPreEmigrating,0,38,2,0,1,TRANSITORY,MIGRATING,313,4,4
11,313,20.2272,F,4,3,local,STIPreEmigrating,0,38,2,0,1,TRANSITORY,MIGRATING,227,0,4
11,21,24.1645,F,1,3,local,STIPreEmigrating,0,45,0,0,1,INFORMAL,MIGRATING,46,1,1
11,46,19.5047,M,1,3,local,STIPreEmigrating,0,45,0,0,1,INFORMAL,MIGRATING,21,1,0
11,46,19.5047,M,3,0,N/A,STIPostImmigrating,0,45,0,0,1,INFORMAL,MIGRATING,21,3,0
11,21,24.1645,F,3,0,N/A,STIPostImmigrating,0,45,0,0,1,INFORMAL,NORMAL,46,3,3
11,313,20.2272,F,3,0,N/A,STIPostImmigrating,0,38,2,0,1,TRANSITORY,MIGRATING,227,0,3
11,227,30.9232,M,3,0,N/A,STIPostImmigrating,0,38,2,0,1,TRANSITORY,NORMAL,313,3,3
13,190,41.3677,M,3,1,local,STIPreEmigrating,0,26,3,0,1,MARITAL,PAUSED,211,3,3
13,88,23.8953,F,2,4,local,STIPreEmigrating,0,35,2,0,1,INFORMAL,MIGRATING,111,2,2
13,92,23.175,F,2,4,local,STIPreEmigrating,0,12,8,0,1,INFORMAL,PAUSED,163,2,2
13,111,29.5682,M,2,4,local,STIPreEmigrating,0,35,2,0,1,INFORMAL,MIGRATING,88,2,0
13,111,29.5682,M,4,0,N/A,STIPostImmigrating,0,35,2,0,1,INFORMAL,MIGRATING,88,4,0
13,92,23.175,F,4,0,N/A,STIPostImmigrating,0,12,8,0,1,INFORMAL,PAUSED,163,2,4
13,88,23.8953,F,4,0,N/A,STIPostImmigrating,0,35,2,0,1,INFORMAL,NORMAL,111,4,4
13,190,41.3677,M,1,0,N/A,STIPostImmigrating,0,26,3,0,1,MARITAL,PAUSED,211,1,3
15,264,44.1922,M,4,2,local,STIPreEmigrating,0,20,2,0,1,MARITAL,MIGRATING,328,4,4
15,328,33.7925,F,4,2,local,STIPreEmigrating,0,20,2,0,1,MARITAL,MIGRATING,264,0,4
15,11,40.6652,M,1,2,local,STIPreEmigrating,0,17,12,0,1,MARITAL,MIGRATING,20,1,1
15,20,37.7887,F,1,2,local,STIPreEmigrating,0,17,12,0,1,MARITAL,MIGRATING,11,0,1
15,20,37.7887,F,2,0,N/A,STIPostImmigrating,0,17,12,0,1,MARITAL,MIGRATING,11,0,2
15,11,40.6652,M,2,0,N/A,STIPostImmigrating,0,17,12,0,1,MARITAL,NORMAL,20,2,2
15,328,33.7925,F,2,0,N/A,STIPostImmigrating,0,20,2,0,1,MARITAL,MIGRATING,264,0,2
15,264,44.1922,M,2,0,N/A,STIPostImmigrating,0,20,2,0,1,MARITAL,NORMAL,328,2,2
16,269,20.1481,F,4,3,local,STIPreEmigrating,0,19,6,0,1,TRANSITORY,MIGRATING,337,4,4
16,337,23.4829,M,4,3,local,STIPreEmigrating,0,19,6,0,1,TRANSITORY,MIGRATING,269,4,0
16,51,18.0347,F,1,2,local,STIPreEmigrating,0,43,0,0,1,TRANSITORY,MIGRATING,61,1,1
16,61,18.4592,M,1,2,local,STIPreEmigrating,0,43,0,0,1,TRANSITORY,MIGRATING,51,1,0
16,61,18.4592,M,2,0,N/A,STIPostImmigrating,0,43,0,0,1,TRANSITORY,MIGRATING,51,2,0
16,51,18.0347,F,2,0,N/A,STIPostImmigrating,0,43,0,0,1,TRANSITORY,NORMAL,61,2,2
16,337,23.4829,M,3,0,N/A,STIPostImmigrating,0,19,6,0,1,TRANSITORY,MIGRATING,269,3,0
16,269,20.1481,F,3,0,N/A,STIPostImmigrating,0,19,6,0,1,TRANSITORY,NORMAL,337,3,3
17,91,24.5492,M,2,3,local,STIPreEmigrating,0,7,10,0,1,TRANSITORY,MIGRATING,106,2,2
17,106,21.2924,F,2,3,local,STIPreEmigrating,0,7,10,0,1,TRANSITORY,MIGRATING,91,0,2
17,106,21.2924,F,3,0,N/A,STIPostImmigrating,0,7,10,0,1,TRANSITORY,MIGRATING,91,0,3
17,91,24.5492,M,3,0,N/A,STIPostImmigrating,0,7,10,0,1,TRANSITORY,NORMAL,106,3,3
18,323,47.2388,F,4,1,local,STIPreEmigrating,0,22,3,0,1,MARITAL,MIGRATING,333,4,4
18,333,53.8362,M,4,1,local,STIPreEmigrating,0,22,3,0,1,MARITAL,MIGRATING,323,4,0
18,31,58.0754,M,1,4,local,STIPreEmigrating,0,16,7,0,1,MARITAL,MIGRATING,69,1,1
18,69,51.9429,F,1,4,local,STIPreEmigrating,0,16,7,0,1,MARITAL,MIGRATING,31,0,1
18,69,51.9429,F,4,0,N/A,STIPostImmigrating,0,16,7,0,1,MARITAL,MIGRATING,31,0,4
18,31,58.0754,M,4,0,N/A,STIPostImmigrating,0,16,7,0,1,MARITAL,NORMAL,69,4,4
18,333,53.8362,M,1,0,N/A,STIPostImmigrating,0,22,3,0,1,MARITAL,MIGRATING,323,1,0
18,323,47.2388,F,1,0,N/A,STIPostImmigrating,0,22,3,0,1,MARITAL,NORMAL,333,1,1
