Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = transitory 1 = informal 2 = marital),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_transitory_rels,A_num_active_informal_rels,A_num_active_marital_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_transitory_rels,B_num_active_informal_rels,B_num_active_marital_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,0,20.1412,0,1,1,1319,0,0,30.6766,1,1,0,0,1,1,0,0,0,0,101,0,1,18.8776,1,1,0,0,1,1,0,0,0,0,None,None
2,0,600.371,0,1,1,2222,0,0,20.9204,1,1,0,0,1,1,0,0,0,0,16680,0,1,17.4218,1,1,0,0,1,1,0,0,0,0,None,None
3,0,118.928,0,1,1,2648,0,0,38.8008,1,1,0,0,1,1,0,0,0,0,3804,0,1,26.2505,1,1,0,0,1,1,0,0,0,0,None,None
4,0,526.069,0,1,1,3092,0,0,22.4067,1,1,0,0,1,1,0,0,0,0,6354,0,1,17.5459,1,1,0,0,1,1,0,0,0,0,None,None
5,0,149.724,0,1,1,4038,0,0,27.5675,1,1,0,0,1,1,0,0,0,0,11049,0,1,31.8134,1,1,0,0,1,1,0,0,0,0,None,None
6,0,147.325,0,1,1,7572,0,0,39.9783,1,1,0,0,1,1,0,0,0,0,1329,0,1,23.1147,1,1,0,0,1,1,0,0,0,0,None,None
7,0,374.658,0,1,1,9525,0,0,34.7009,1,1,0,0,1,1,0,0,0,0,11321,0,1,31.6251,1,1,0,0,1,1,0,0,0,0,None,None
8,0,456.742,0,1,1,12519,0,0,26.2799,1,1,0,0,1,1,0,0,0,0,15875,0,1,24.9306,1,1,0,0,1,1,0,0,0,0,None,None
9,0,410.413,1,1,1,514,0,0,21.4016,1,0,1,0,1,1,0,0,0,0,7333,0,1,16.1908,1,0,1,0,1,1,0,0,0,0,None,None
10,0,1338.16,1,1,1,1632,0,0,33.412,1,0,1,0,1,1,0,0,0,0,1553,0,1,28.8256,1,0,1,0,1,1,0,0,0,0,None,None
11,0,1338.59,1,1,1,6951,0,0,30.2162,1,0,1,0,1,1,0,0,0,0,11867,0,1,28.212,1,0,1,0,1,1,0,0,0,0,None,None
12,0,952.998,1,1,1,13184,0,0,37.8915,1,0,1,0,1,1,0,0,0,0,2605,0,1,23.6399,1,0,1,0,1,1,0,0,0,0,None,None
13,0,464.976,1,1,1,16819,0,0,23.2717,1,0,1,0,1,1,0,0,0,0,16212,0,1,22.2923,1,0,1,0,1,1,0,0,0,0,None,None
14,1,322.065,0,1,1,9835,0,0,49.5611,1,1,0,0,1,1,0,0,0,0,11725,0,1,30.1687,1,1,0,0,1,1,0,0,0,0,None,None
15,1,448.292,0,1,1,15696,0,0,38.8197,1,1,0,0,1,1,0,0,0,0,493,0,1,33.3104,1,1,0,0,1,1,0,0,0,0,None,None
16,1,702.231,0,1,1,17254,0,0,25.4399,1,1,0,0,1,1,0,0,0,0,8997,0,1,23.9866,1,1,0,0,1,1,0,0,0,0,None,None
17,1,466.139,0,1,1,1459,0,0,35.7524,1,1,0,0,1,1,0,0,0,0,949,0,1,34.83,1,1,0,0,1,1,0,0,0,0,None,None
18,1,926.137,1,1,1,477,0,0,32.4644,1,0,1,0,1,1,0,0,0,0,16076,0,1,31.892,1,0,1,0,1,1,0,0,0,0,None,None
19,1,94.3584,1,1,1,2496,0,0,23.0906,1,0,1,0,1,1,0,0,0,0,5480,0,1,23.8685,1,0,1,0,1,1,0,0,0,0,None,None
20,1,678.303,1,1,1,3625,0,0,35.8142,1,0,1,0,1,1,0,0,0,0,1625,0,1,35.0894,1,0,1,0,1,1,0,0,0,0,None,None
21,1,208.193,1,1,1,8158,0,0,24.6759,1,0,1,0,1,1,0,0,0,0,15287,0,1,28.1722,1,0,1,0,1,1,0,0,0,0,None,None
22,1,668.037,1,1,1,10024,0,0,24.8375,1,0,1,0,1,1,0,0,0,0,6818,1,1,18.9467,1,0,1,0,1,1,0,0,0,0,None,None
23,1,727.97,1,1,1,11534,0,0,32.3867,1,0,1,0,1,1,0,0,0,0,10834,0,1,22.8421,1,0,1,0,1,1,0,0,0,0,None,None
24,1,613.241,1,1,1,12641,0,0,28.8788,1,0,1,0,1,1,0,0,0,0,11092,0,1,24.6887,1,0,1,0,1,1,0,0,0,0,None,None
25,1,489.683,1,1,1,13620,1,0,18.247,1,0,1,0,1,1,0,0,0,0,6845,1,1,18.6662,1,0,1,0,1,1,0,0,0,0,None,None
26,1,887.698,1,1,1,17118,0,0,24.2605,1,0,1,0,1,1,0,0,0,0,14574,1,1,18.4563,1,0,1,0,1,1,0,0,0,0,None,None
27,2,144.878,0,1,1,3665,0,0,19.5266,1,1,0,0,1,1,0,0,0,0,200,1,1,17.7104,1,1,0,0,1,1,0,0,0,0,None,None
28,2,228.747,0,1,1,7791,0,0,23.8181,1,1,0,0,1,1,0,0,0,0,1539,0,1,23.7326,1,1,0,0,1,1,0,0,0,0,None,None
29,2,38.0672,0,1,1,12548,0,0,22.4398,1,1,0,0,1,1,0,0,0,0,7267,0,1,20.9072,1,1,0,0,1,1,0,0,0,0,None,None
30,2,50.9877,0,1,1,15345,0,0,23.7707,1,1,0,0,1,1,0,0,0,0,1266,1,1,17.4367,1,1,0,0,1,1,0,0,0,0,None,None
