
time,Node_ID,Before/After,RelationshipType,# of Males,# of Females,Male_Bin_Index_1,Male_Bin_Index_2,Male_Bin_Index_3,Male_Bin_Index_4,Male_Bin_Index_5,Male_Bin_Index_6,Male_Bin_Index_7,Male_Bin_Index_8,Male_Bin_Index_9,Male_Bin_Index_10,Male_Bin_Index_11,Male_Bin_Index_12,Male_Bin_Index_13,Male_Bin_Index_14,Male_Bin_Index_15,Male_Bin_Index_16,Male_Bin_Index_17,Male_Bin_Index_18,Male_Bin_Index_19,Male_Bin_Index_20,Female_Bin_Index_1,Female_Bin_Index_2,Female_Bin_Index_3,Female_Bin_Index_4,Female_Bin_Index_5,Female_Bin_Index_6,Female_Bin_Index_7,Female_Bin_Index_8,Female_Bin_Index_9,Female_Bin_Index_10,Female_Bin_Index_11,Female_Bin_Index_12,Female_Bin_Index_13,Female_Bin_Index_14,Female_Bin_Index_15,Female_Bin_Index_16,Female_Bin_Index_17,Female_Bin_Index_18,Female_Bin_Index_19,Female_Bin_Index_20
0,1,BEFORE,TRANSITORY,7,10,1,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,AFTER,TRANSITORY,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,BEFORE,INFORMAL,5,12,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
0,1,AFTER,INFORMAL,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1,BEFORE,MARITAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,AFTER,MARITAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,BEFORE,TRANSITORY,13,11,0,0,2,3,0,1,1,0,1,0,2,0,0,1,0,1,0,1,0,0,6,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,AFTER,TRANSITORY,6,4,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,BEFORE,INFORMAL,9,15,0,1,1,2,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,3,1,1,0,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
1,1,AFTER,INFORMAL,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0
1,1,BEFORE,MARITAL,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,AFTER,MARITAL,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,BEFORE,TRANSITORY,17,16,0,1,2,2,1,0,4,0,0,0,2,1,0,2,0,1,0,1,0,0,8,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,AFTER,TRANSITORY,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,BEFORE,INFORMAL,10,11,1,0,1,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0
2,1,AFTER,INFORMAL,4,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0
2,1,BEFORE,MARITAL,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,AFTER,MARITAL,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,BEFORE,TRANSITORY,14,6,0,4,1,0,1,0,1,2,0,0,0,1,0,2,0,1,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,AFTER,TRANSITORY,8,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,BEFORE,INFORMAL,10,15,1,0,0,2,1,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,3,1,2,3,0,1,0,0,0,1,0,0,0,0
3,1,AFTER,INFORMAL,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0
3,1,BEFORE,MARITAL,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,AFTER,MARITAL,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,BEFORE,TRANSITORY,14,5,1,1,1,0,1,3,0,1,0,1,0,1,0,2,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1,AFTER,TRANSITORY,11,2,1,1,0,0,0,3,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1,BEFORE,INFORMAL,4,14,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0
4,1,AFTER,INFORMAL,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0
4,1,BEFORE,MARITAL,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1,AFTER,MARITAL,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,1,BEFORE,TRANSITORY,18,9,1,3,1,1,0,4,0,0,1,1,1,1,0,2,0,1,0,1,0,0,2,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,1,AFTER,TRANSITORY,9,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,BEFORE,INFORMAL,9,21,0,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,1,2,1,1,4,1,0,1,0,0,1,0,0,0,0
5,1,AFTER,INFORMAL,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,4,1,0,1,0,0,1,0,0,0,0
5,1,BEFORE,MARITAL,7,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,1,AFTER,MARITAL,7,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,1,BEFORE,TRANSITORY,10,7,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,AFTER,TRANSITORY,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,BEFORE,INFORMAL,5,22,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,1,1,1,4,2,0,2,0,0,1,0,0,0,0
6,1,AFTER,INFORMAL,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,4,2,0,2,0,0,1,0,0,0,0
6,1,BEFORE,MARITAL,8,3,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6,1,AFTER,MARITAL,6,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,1,BEFORE,TRANSITORY,8,6,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,AFTER,TRANSITORY,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,BEFORE,INFORMAL,8,23,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,6,2,1,1,1,4,2,0,2,0,0,1,0,0,0,0
7,1,AFTER,INFORMAL,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,4,2,0,2,0,0,0,0,0,0,0
7,1,BEFORE,MARITAL,6,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,1,AFTER,MARITAL,6,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,1,BEFORE,TRANSITORY,12,7,1,0,1,1,3,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,AFTER,TRANSITORY,6,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,BEFORE,INFORMAL,5,19,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,2,4,2,0,2,0,0,0,0,0,0,1
8,1,AFTER,INFORMAL,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,4,2,0,2,0,0,0,0,0,0,1
8,1,BEFORE,MARITAL,6,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,1,AFTER,MARITAL,6,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,1,BEFORE,TRANSITORY,14,13,1,0,0,2,4,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,4,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,AFTER,TRANSITORY,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,BEFORE,INFORMAL,7,20,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0,0,1,4,3,0,2,0,0,0,0,0,0,1
9,1,AFTER,INFORMAL,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,2,0,0,0,0,0,0,1
9,1,BEFORE,MARITAL,6,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,1,AFTER,MARITAL,6,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,1,BEFORE,TRANSITORY,11,10,1,1,2,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,3,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,1,AFTER,TRANSITORY,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,1,BEFORE,INFORMAL,9,22,0,0,1,0,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,5,0,1,1,1,4,3,0,2,0,0,0,0,0,0,1
10,1,AFTER,INFORMAL,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,2,2,0,2,0,0,0,0,0,0,1
10,1,BEFORE,MARITAL,6,2,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10,1,AFTER,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,1,BEFORE,TRANSITORY,10,12,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,4,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,1,AFTER,TRANSITORY,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,BEFORE,INFORMAL,3,17,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,2,2,2,0,2,0,0,0,0,0,0,1
11,1,AFTER,INFORMAL,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,1
11,1,BEFORE,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,1,AFTER,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,1,BEFORE,TRANSITORY,6,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,2,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,AFTER,TRANSITORY,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,BEFORE,INFORMAL,7,24,2,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,3,1,3,1,0,2,3,2,2,0,2,1,0,0,0,0,0,1
12,1,AFTER,INFORMAL,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,3,2,2,0,1,1,0,0,0,0,0,1
12,1,BEFORE,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,1,AFTER,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,1,BEFORE,TRANSITORY,12,17,0,2,1,2,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,2,3,5,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1,AFTER,TRANSITORY,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1,BEFORE,INFORMAL,11,22,1,1,0,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,4,1,0,2,3,2,2,0,1,1,0,0,0,0,0,1
13,1,AFTER,INFORMAL,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,2,0,1,1,0,0,0,0,0,1
13,1,BEFORE,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,1,AFTER,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,1,BEFORE,TRANSITORY,13,14,0,1,1,2,2,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,2,0,4,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1,AFTER,TRANSITORY,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1,BEFORE,INFORMAL,6,18,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1,0,0,3,2,2,0,1,1,0,0,0,0,0,1
14,1,AFTER,INFORMAL,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,2,0,1,1,0,0,0,0,0,1
14,1,BEFORE,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,1,AFTER,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,1,BEFORE,TRANSITORY,11,11,0,1,0,2,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,2,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1,AFTER,TRANSITORY,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1,BEFORE,INFORMAL,5,22,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,4,1,1,3,0,1,2,2,2,0,2,1,0,0,0,0,0,1
15,1,AFTER,INFORMAL,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,0,1,1,2,1,0,2,1,0,0,0,0,0,1
15,1,BEFORE,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,1,AFTER,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1,BEFORE,TRANSITORY,10,11,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,1,1,1,0,1,4,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,1,AFTER,TRANSITORY,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,1,BEFORE,INFORMAL,6,22,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,3,1,0,3,1,1,1,2,1,0,2,1,0,0,0,0,0,1
16,1,AFTER,INFORMAL,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,1,1,1,2,1,0,1,1,0,0,0,0,0,1
16,1,BEFORE,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1,AFTER,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1,BEFORE,TRANSITORY,13,16,0,1,0,1,0,0,1,1,0,1,0,1,0,1,2,1,1,1,0,1,3,1,2,2,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0
17,1,AFTER,TRANSITORY,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,BEFORE,INFORMAL,4,19,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,1,0,0,2,1,1,1,2,2,0,1,1,0,0,0,0,0,1
17,1,AFTER,INFORMAL,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,2,2,0,1,1,0,0,0,0,0,1
17,1,BEFORE,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1,AFTER,MARITAL,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,1,BEFORE,TRANSITORY,8,12,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,3,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,AFTER,TRANSITORY,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,BEFORE,INFORMAL,5,21,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,2,2,1,0,2,2,0,1,1,0,0,0,0,0,1
18,1,AFTER,INFORMAL,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,1,1,0,2,2,0,1,1,0,0,0,0,0,1
18,1,BEFORE,MARITAL,6,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,1,AFTER,MARITAL,6,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
