Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = transitory 1 = informal 2 = marital),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_transitory_rels,A_num_active_informal_rels,A_num_active_marital_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_transitory_rels,B_num_active_informal_rels,B_num_active_marital_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,6,145.352,0,1,1,1153,0,0,61.8543,1,1,0,0,1,1,0,0,0,0,5369,0,1,49.9207,1,1,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-Yes
2,6,506.347,0,1,1,5372,0,0,69.1513,1,1,0,0,1,1,0,0,0,0,9546,0,1,43.3062,1,1,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-Yes
3,6,205.804,0,1,1,6577,0,0,55.6074,1,1,0,0,1,1,0,0,0,0,11676,0,1,36.5639,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
4,6,413.461,0,1,1,6911,0,0,63.6723,1,1,0,0,1,1,0,0,0,0,13721,1,1,26.6503,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
5,6,483.855,0,1,1,6952,0,0,19.4615,1,1,0,0,1,1,0,0,0,0,2259,0,1,50.5208,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
6,6,248.493,0,1,1,7157,0,0,57.2467,1,1,0,0,1,1,0,0,0,0,16545,0,1,17.1536,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
7,6,216.91,0,1,1,8360,0,0,32.956,1,1,0,0,1,1,0,0,0,0,2338,0,1,51.8745,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
8,6,139.817,0,1,1,8801,0,0,37.5595,1,1,0,0,1,1,0,0,0,0,16918,0,1,50.535,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
9,6,852.257,0,1,1,11076,0,0,51.1983,1,1,0,0,1,1,0,0,0,0,515,0,1,25.7875,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
10,6,69.2848,0,1,1,11981,0,0,40.1846,1,1,0,0,1,1,0,0,0,0,3182,0,1,63.833,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-No
11,6,391.392,0,1,1,15763,0,0,43.3689,1,1,0,0,1,1,0,0,0,0,5489,0,1,55.9179,1,1,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-Yes
12,6,440.138,0,1,1,535,0,0,25.6356,1,1,0,0,1,1,0,0,0,0,8206,0,1,55.182,1,1,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-No
13,6,250.362,0,1,1,1751,0,0,67.5101,1,1,0,0,1,1,0,0,0,0,1999,1,1,16.8526,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-No
14,6,86.8388,0,1,1,3289,0,0,72.6577,1,1,0,0,1,1,0,0,0,0,2503,0,1,22.0289,1,1,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-Yes
15,6,136.23,0,1,1,4213,0,0,58.0325,1,1,0,0,1,1,0,0,0,0,2555,1,1,31.7225,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
16,6,420.995,0,1,1,4834,0,0,52.4202,1,1,0,0,1,1,0,0,0,0,2966,0,1,25.1342,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
